,indie_game,action_game,platform_game,adventure_game,sci-fi,role-playing_video_game,puzzle_video_game,dates,lang
0,5299.0,37168.0,24399.0,46455.0,10648.0,10600.0,6477.0,2019-01-01,it
1,6226.0,26656.0,29762.0,52102.0,11814.0,13354.0,10965.0,2019-01-02,it
2,6318.0,22246.0,32268.0,50354.0,11479.0,13816.0,8336.0,2019-01-03,it
3,6046.0,28968.0,31666.0,60626.0,10813.0,12636.0,6901.0,2019-01-04,it
4,6326.0,26631.0,27126.0,53062.0,11281.0,12443.0,6899.0,2019-01-05,it
5,6396.0,22636.0,30547.0,53123.0,11705.0,13284.0,7359.0,2019-01-06,it
6,5821.0,20116.0,22621.0,106198.0,10920.0,12604.0,6564.0,2019-01-07,it
7,5808.0,18465.0,20492.0,191207.0,11369.0,12383.0,6863.0,2019-01-08,it
8,5492.0,16127.0,20774.0,78938.0,9830.0,12541.0,6584.0,2019-01-09,it
9,5850.0,15854.0,24521.0,48832.0,10194.0,11747.0,6907.0,2019-01-10,it
10,5388.0,20962.0,22204.0,53452.0,12798.0,11513.0,6435.0,2019-01-11,it
11,5251.0,17735.0,20463.0,45536.0,9967.0,12197.0,5901.0,2019-01-12,it
12,6345.0,22188.0,32353.0,51736.0,12140.0,13746.0,6819.0,2019-01-13,it
13,5759.0,26186.0,20278.0,43071.0,10799.0,11703.0,6520.0,2019-01-14,it
14,5386.0,19047.0,19912.0,42821.0,10643.0,11148.0,6649.0,2019-01-15,it
15,5374.0,16656.0,19346.0,38754.0,12508.0,11354.0,6491.0,2019-01-16,it
16,5851.0,18181.0,26172.0,42035.0,12388.0,12316.0,7335.0,2019-01-17,it
17,5260.0,22555.0,19586.0,49761.0,10816.0,11557.0,6281.0,2019-01-18,it
18,5211.0,25334.0,19521.0,52162.0,12093.0,12301.0,6162.0,2019-01-19,it
19,5865.0,20604.0,103778.0,46328.0,12598.0,13957.0,6781.0,2019-01-20,it
20,5293.0,16974.0,22352.0,38843.0,11693.0,13092.0,6601.0,2019-01-21,it
21,5542.0,16025.0,19840.0,37893.0,11254.0,12879.0,6390.0,2019-01-22,it
22,5263.0,15969.0,18697.0,38635.0,11487.0,12209.0,6354.0,2019-01-23,it
23,5733.0,15610.0,24068.0,35813.0,12625.0,12541.0,6382.0,2019-01-24,it
24,4949.0,14847.0,18895.0,35453.0,10697.0,12652.0,6267.0,2019-01-25,it
25,4961.0,16566.0,18597.0,43645.0,10398.0,12499.0,5859.0,2019-01-26,it
26,5861.0,17505.0,25993.0,45717.0,12433.0,14728.0,6562.0,2019-01-27,it
27,5470.0,15665.0,19250.0,39193.0,11161.0,15202.0,6491.0,2019-01-28,it
28,5191.0,15326.0,16786.0,35561.0,10332.0,16820.0,6430.0,2019-01-29,it
29,5074.0,15926.0,17658.0,35763.0,10820.0,16305.0,7941.0,2019-01-30,it
30,5076.0,17214.0,21911.0,34169.0,11996.0,15800.0,6475.0,2019-01-31,it
31,4897.0,15332.0,20385.0,34622.0,10624.0,14699.0,6320.0,2019-02-01,it
32,5137.0,18080.0,18689.0,37968.0,11085.0,15270.0,6502.0,2019-02-02,it
33,5884.0,22890.0,25149.0,42185.0,12274.0,17213.0,6738.0,2019-02-03,it
34,5259.0,16456.0,17513.0,36061.0,11623.0,15569.0,6448.0,2019-02-04,it
35,5355.0,16082.0,16705.0,33451.0,12472.0,14331.0,6090.0,2019-02-05,it
36,4962.0,14829.0,16433.0,34626.0,11094.0,13299.0,6039.0,2019-02-06,it
37,5170.0,15558.0,19241.0,34376.0,10339.0,12965.0,5897.0,2019-02-07,it
38,4861.0,14502.0,16318.0,32162.0,10186.0,12456.0,5669.0,2019-02-08,it
39,4997.0,14760.0,16847.0,33091.0,10181.0,12520.0,5669.0,2019-02-09,it
40,5358.0,19895.0,19921.0,37158.0,11673.0,13855.0,5676.0,2019-02-10,it
41,5162.0,16075.0,15649.0,33726.0,12567.0,14616.0,16133.0,2019-02-11,it
42,4883.0,14172.0,15564.0,31667.0,12268.0,13965.0,6322.0,2019-02-12,it
43,5201.0,13291.0,15135.0,32711.0,11843.0,13595.0,5932.0,2019-02-13,it
44,4610.0,12984.0,14671.0,34480.0,10988.0,12928.0,5755.0,2019-02-14,it
45,4981.0,13048.0,14798.0,31205.0,12034.0,13443.0,6069.0,2019-02-15,it
46,4814.0,16023.0,17875.0,35772.0,11874.0,13765.0,5839.0,2019-02-16,it
47,5350.0,15228.0,18376.0,38210.0,12647.0,14668.0,5955.0,2019-02-17,it
48,5347.0,13582.0,15845.0,34156.0,11708.0,12878.0,7246.0,2019-02-18,it
49,5078.0,13161.0,15051.0,32402.0,11326.0,11712.0,6863.0,2019-02-19,it
50,5035.0,13391.0,14945.0,31681.0,10612.0,11657.0,6307.0,2019-02-20,it
51,5300.0,13595.0,15042.0,32636.0,10477.0,11328.0,6102.0,2019-02-21,it
52,5032.0,13332.0,14842.0,30392.0,10213.0,10979.0,6865.0,2019-02-22,it
53,5292.0,17683.0,18420.0,38214.0,11137.0,12110.0,6335.0,2019-02-23,it
54,5821.0,16365.0,17909.0,38572.0,11455.0,13267.0,7335.0,2019-02-24,it
55,5275.0,15212.0,17492.0,33958.0,10972.0,11333.0,7577.0,2019-02-25,it
56,5236.0,14157.0,15882.0,32393.0,10572.0,11029.0,6610.0,2019-02-26,it
57,4921.0,13904.0,14824.0,31314.0,9595.0,11979.0,6253.0,2019-02-27,it
58,4858.0,17312.0,15695.0,32022.0,10547.0,11134.0,5764.0,2019-02-28,it
59,5283.0,16148.0,14339.0,30403.0,9556.0,10663.0,5898.0,2019-03-01,it
60,5502.0,21452.0,17711.0,35345.0,9616.0,11290.0,5893.0,2019-03-02,it
61,5667.0,15675.0,17140.0,35766.0,10190.0,12328.0,6137.0,2019-03-03,it
62,5717.0,15984.0,16254.0,35519.0,10079.0,11419.0,6526.0,2019-03-04,it
63,5260.0,13855.0,15777.0,32209.0,9325.0,10451.0,5776.0,2019-03-05,it
64,4923.0,12779.0,14661.0,31266.0,8976.0,10071.0,6161.0,2019-03-06,it
65,5041.0,13427.0,14811.0,32773.0,8906.0,9642.0,6067.0,2019-03-07,it
66,4914.0,13001.0,14349.0,34245.0,8802.0,9547.0,5769.0,2019-03-08,it
67,5306.0,15587.0,17365.0,39058.0,9281.0,10500.0,5927.0,2019-03-09,it
68,13705.0,24599.0,20319.0,45543.0,10058.0,19802.0,6378.0,2019-03-10,it
69,7182.0,15142.0,16740.0,36761.0,9909.0,12632.0,6514.0,2019-03-11,it
70,5227.0,14200.0,15591.0,32594.0,9090.0,9883.0,6894.0,2019-03-12,it
71,5137.0,14808.0,15578.0,32717.0,8733.0,9109.0,6684.0,2019-03-13,it
72,5034.0,13515.0,14288.0,31608.0,8391.0,8852.0,5845.0,2019-03-14,it
73,4520.0,14801.0,14048.0,30687.0,7946.0,7897.0,5324.0,2019-03-15,it
74,4968.0,16305.0,16872.0,35789.0,8388.0,8731.0,5491.0,2019-03-16,it
75,5357.0,17561.0,18110.0,40247.0,9573.0,9883.0,6798.0,2019-03-17,it
76,4933.0,14804.0,15055.0,34869.0,9025.0,9510.0,6466.0,2019-03-18,it
77,4739.0,14522.0,14851.0,32570.0,8655.0,8695.0,5718.0,2019-03-19,it
78,5026.0,26103.0,16660.0,35669.0,8799.0,8419.0,5542.0,2019-03-20,it
79,4860.0,17933.0,15123.0,35407.0,7976.0,8513.0,5833.0,2019-03-21,it
80,4983.0,15303.0,15013.0,33427.0,7912.0,8751.0,6125.0,2019-03-22,it
81,4993.0,15425.0,15511.0,34682.0,8084.0,9059.0,5977.0,2019-03-23,it
82,5241.0,16681.0,18395.0,40326.0,8948.0,10231.0,6564.0,2019-03-24,it
83,5557.0,14880.0,15875.0,38165.0,9097.0,9997.0,6590.0,2019-03-25,it
84,4983.0,14451.0,14918.0,35055.0,8701.0,20743.0,5954.0,2019-03-26,it
85,4759.0,14571.0,15918.0,35674.0,8412.0,9663.0,6044.0,2019-03-27,it
86,4703.0,13620.0,14873.0,33218.0,8182.0,9149.0,6009.0,2019-03-28,it
87,4463.0,14626.0,14342.0,35145.0,7846.0,8576.0,5937.0,2019-03-29,it
88,4600.0,14561.0,16386.0,33758.0,7851.0,8489.0,5636.0,2019-03-30,it
89,5218.0,16947.0,16735.0,39549.0,8455.0,9592.0,5471.0,2019-03-31,it
90,4935.0,14290.0,15573.0,32522.0,8741.0,8717.0,5922.0,2019-04-01,it
91,5523.0,14672.0,15309.0,32712.0,8765.0,8985.0,5857.0,2019-04-02,it
92,5340.0,16374.0,16151.0,34688.0,8079.0,8537.0,5654.0,2019-04-03,it
93,5695.0,19377.0,16222.0,35249.0,8290.0,9230.0,5947.0,2019-04-04,it
94,5226.0,15262.0,15346.0,31871.0,8170.0,8251.0,5750.0,2019-04-05,it
95,5219.0,15156.0,16571.0,32642.0,7684.0,8460.0,5529.0,2019-04-06,it
96,5818.0,16959.0,18879.0,38148.0,8913.0,9689.0,5823.0,2019-04-07,it
97,5032.0,14812.0,16954.0,33741.0,8200.0,9085.0,5686.0,2019-04-08,it
98,5159.0,13708.0,16046.0,32972.0,7941.0,8210.0,5485.0,2019-04-09,it
99,4769.0,13251.0,18087.0,31996.0,7716.0,7772.0,5199.0,2019-04-10,it
100,5001.0,14057.0,18105.0,31591.0,8388.0,8430.0,5911.0,2019-04-11,it
101,5064.0,13873.0,17292.0,31216.0,8173.0,8450.0,6270.0,2019-04-12,it
102,5010.0,14406.0,17317.0,32007.0,7922.0,8328.0,5733.0,2019-04-13,it
103,5932.0,16421.0,19184.0,40201.0,9251.0,10235.0,5900.0,2019-04-14,it
104,4902.0,13685.0,15557.0,33847.0,8075.0,8754.0,5418.0,2019-04-15,it
105,4629.0,12203.0,14370.0,30202.0,7695.0,7914.0,5047.0,2019-04-16,it
106,4582.0,12252.0,13918.0,31435.0,7243.0,7896.0,4918.0,2019-04-17,it
107,5328.0,13527.0,15023.0,33607.0,7611.0,8731.0,5395.0,2019-04-18,it
108,5342.0,12927.0,15469.0,32544.0,8417.0,8867.0,4833.0,2019-04-19,it
109,5204.0,12775.0,14541.0,31066.0,7767.0,8596.0,4970.0,2019-04-20,it
110,5445.0,15049.0,18633.0,38814.0,8745.0,9542.0,5607.0,2019-04-21,it
111,5195.0,18414.0,18232.0,37590.0,8839.0,9683.0,5448.0,2019-04-22,it
112,5979.0,17992.0,18411.0,40760.0,9446.0,10658.0,6408.0,2019-04-23,it
113,5777.0,27029.0,17353.0,52043.0,8938.0,9737.0,5991.0,2019-04-24,it
114,5371.0,31373.0,19839.0,61995.0,9148.0,9634.0,6066.0,2019-04-25,it
115,5407.0,37300.0,18275.0,70558.0,9131.0,8981.0,6155.0,2019-04-26,it
116,5112.0,28461.0,25172.0,54736.0,8518.0,8439.0,5401.0,2019-04-27,it
117,5480.0,29911.0,19876.0,57902.0,9599.0,9880.0,5550.0,2019-04-28,it
118,4878.0,27116.0,16287.0,50696.0,9200.0,9215.0,5314.0,2019-04-29,it
