,adventure_game,platform_game,shooting_game,action_game,puzzle_video_game,role-playing_video_game,visual_novel,dates,lang
0,64761.0,26693.0,15707.0,38300.0,15229.0,86316.0,42022.0,2019-01-01,ja
1,72888.0,27888.0,16996.0,41211.0,16069.0,92219.0,45849.0,2019-01-02,ja
2,76961.0,33108.0,17972.0,41062.0,16278.0,95387.0,49568.0,2019-01-03,ja
3,71924.0,28797.0,17888.0,44072.0,17656.0,95723.0,47905.0,2019-01-04,ja
4,76293.0,33070.0,18471.0,44549.0,18392.0,103963.0,50583.0,2019-01-05,ja
5,76916.0,30943.0,19200.0,45125.0,18345.0,107071.0,55962.0,2019-01-06,ja
6,62461.0,26523.0,16585.0,37922.0,16096.0,91018.0,47275.0,2019-01-07,ja
7,60587.0,26658.0,16080.0,35845.0,16310.0,89098.0,45646.0,2019-01-08,ja
8,54801.0,25926.0,15127.0,35701.0,28244.0,86502.0,46756.0,2019-01-09,ja
9,53357.0,31451.0,15644.0,35915.0,15700.0,86838.0,46204.0,2019-01-10,ja
10,53700.0,27113.0,16168.0,36256.0,14977.0,93275.0,43986.0,2019-01-11,ja
11,63141.0,35740.0,17559.0,42191.0,17146.0,103701.0,51873.0,2019-01-12,ja
12,69180.0,36100.0,18672.0,45646.0,17549.0,108459.0,56394.0,2019-01-13,ja
13,83602.0,32268.0,18714.0,46449.0,17384.0,109688.0,56248.0,2019-01-14,ja
14,62773.0,26850.0,16889.0,39940.0,15416.0,93663.0,46356.0,2019-01-15,ja
15,59562.0,27730.0,16583.0,41463.0,14951.0,88034.0,46085.0,2019-01-16,ja
16,56763.0,25908.0,16948.0,49033.0,14961.0,86866.0,44279.0,2019-01-17,ja
17,56400.0,26165.0,17111.0,59023.0,15098.0,88084.0,46825.0,2019-01-18,ja
18,65161.0,30786.0,20295.0,56942.0,17782.0,99646.0,51113.0,2019-01-19,ja
19,66549.0,30169.0,17886.0,58786.0,17893.0,104035.0,52347.0,2019-01-20,ja
20,55802.0,24304.0,15853.0,50183.0,16213.0,89515.0,44156.0,2019-01-21,ja
21,53215.0,24567.0,16841.0,45257.0,15517.0,89865.0,43755.0,2019-01-22,ja
22,52342.0,25150.0,16704.0,43604.0,15280.0,87019.0,43868.0,2019-01-23,ja
23,52584.0,24728.0,16009.0,41884.0,15225.0,91145.0,42494.0,2019-01-24,ja
24,53102.0,26746.0,16083.0,42038.0,15391.0,102135.0,41248.0,2019-01-25,ja
25,61470.0,33921.0,17045.0,45941.0,17056.0,107520.0,44412.0,2019-01-26,ja
26,63365.0,33518.0,17654.0,47884.0,16897.0,106833.0,48835.0,2019-01-27,ja
27,55151.0,26689.0,16578.0,40317.0,15149.0,90031.0,41891.0,2019-01-28,ja
28,53538.0,25901.0,15965.0,39698.0,15176.0,85575.0,39623.0,2019-01-29,ja
29,53715.0,29253.0,16903.0,39881.0,15704.0,84479.0,41587.0,2019-01-30,ja
30,52162.0,27873.0,16020.0,42007.0,15374.0,83399.0,40822.0,2019-01-31,ja
31,51158.0,25630.0,16274.0,39538.0,16255.0,80922.0,40009.0,2019-02-01,ja
32,60958.0,33099.0,18228.0,43404.0,16853.0,96852.0,45727.0,2019-02-02,ja
33,74621.0,31431.0,29102.0,55310.0,16968.0,102114.0,48785.0,2019-02-03,ja
34,56624.0,25426.0,17793.0,39863.0,16483.0,85161.0,41961.0,2019-02-04,ja
35,56407.0,24384.0,17038.0,39866.0,15338.0,85515.0,41284.0,2019-02-05,ja
36,54699.0,26119.0,17155.0,40744.0,16117.0,82249.0,41952.0,2019-02-06,ja
37,55649.0,24758.0,16908.0,39211.0,16594.0,79822.0,41011.0,2019-02-07,ja
38,57027.0,23860.0,17281.0,38831.0,15191.0,79985.0,40179.0,2019-02-08,ja
39,62939.0,29265.0,18638.0,42330.0,17070.0,95017.0,45255.0,2019-02-09,ja
40,64661.0,30169.0,19023.0,44251.0,18270.0,111597.0,55264.0,2019-02-10,ja
41,67642.0,29269.0,18847.0,43019.0,18041.0,114859.0,52759.0,2019-02-11,ja
42,52858.0,23364.0,16082.0,35489.0,15526.0,85057.0,41974.0,2019-02-12,ja
43,55556.0,23149.0,15322.0,34693.0,15006.0,92856.0,40981.0,2019-02-13,ja
44,94716.0,25230.0,15816.0,38931.0,21658.0,113762.0,40557.0,2019-02-14,ja
45,66505.0,25393.0,16415.0,37828.0,21097.0,89912.0,40119.0,2019-02-15,ja
46,68173.0,28374.0,18018.0,40876.0,22763.0,100132.0,46111.0,2019-02-16,ja
47,66691.0,28286.0,18278.0,40520.0,23573.0,101140.0,49294.0,2019-02-17,ja
48,56398.0,27637.0,16633.0,39455.0,23084.0,84576.0,43204.0,2019-02-18,ja
49,56671.0,23977.0,16747.0,34928.0,23905.0,84315.0,43951.0,2019-02-19,ja
50,54823.0,22971.0,15901.0,33266.0,21331.0,78719.0,41329.0,2019-02-20,ja
51,54158.0,22530.0,17745.0,33303.0,21056.0,77166.0,41705.0,2019-02-21,ja
52,55956.0,24207.0,17851.0,35018.0,18814.0,85489.0,43003.0,2019-02-22,ja
53,60714.0,28865.0,19969.0,37904.0,19980.0,97581.0,46895.0,2019-02-23,ja
54,74917.0,27092.0,34500.0,50848.0,22715.0,100520.0,50165.0,2019-02-24,ja
55,57379.0,23531.0,19759.0,34005.0,19537.0,87450.0,42791.0,2019-02-25,ja
56,53323.0,22706.0,17927.0,32841.0,18490.0,86627.0,42133.0,2019-02-26,ja
57,50978.0,21927.0,17989.0,32828.0,17581.0,93633.0,40923.0,2019-02-27,ja
58,50338.0,21640.0,17609.0,33764.0,16766.0,87849.0,49101.0,2019-02-28,ja
59,55243.0,21097.0,20596.0,36506.0,16140.0,83441.0,43784.0,2019-03-01,ja
60,59229.0,25454.0,20420.0,37336.0,19036.0,98557.0,48889.0,2019-03-02,ja
61,65875.0,26473.0,21626.0,39827.0,21269.0,101391.0,51433.0,2019-03-03,ja
62,57764.0,23078.0,19589.0,35874.0,18462.0,85101.0,45984.0,2019-03-04,ja
63,52265.0,22485.0,17341.0,35080.0,17273.0,81670.0,43942.0,2019-03-05,ja
64,53550.0,22942.0,16558.0,36465.0,17325.0,87009.0,44596.0,2019-03-06,ja
65,53881.0,22335.0,16393.0,33297.0,16849.0,79278.0,45673.0,2019-03-07,ja
66,63272.0,21121.0,17875.0,33929.0,15889.0,78831.0,43778.0,2019-03-08,ja
67,70797.0,25220.0,18347.0,37698.0,19149.0,91688.0,47536.0,2019-03-09,ja
68,74032.0,25055.0,18088.0,38314.0,19592.0,94056.0,49097.0,2019-03-10,ja
69,62010.0,22035.0,16481.0,32132.0,16850.0,78334.0,42297.0,2019-03-11,ja
70,60408.0,22499.0,16433.0,33166.0,17699.0,79600.0,42369.0,2019-03-12,ja
71,57439.0,21346.0,15250.0,34719.0,15876.0,75559.0,41971.0,2019-03-13,ja
72,52895.0,21283.0,15304.0,30863.0,14550.0,69044.0,41603.0,2019-03-14,ja
73,55093.0,20799.0,15792.0,31354.0,14184.0,70124.0,40347.0,2019-03-15,ja
74,61486.0,25260.0,16887.0,35193.0,17069.0,81655.0,46329.0,2019-03-16,ja
75,64515.0,24240.0,17592.0,35338.0,18313.0,83178.0,47203.0,2019-03-17,ja
76,52822.0,21329.0,14719.0,30247.0,15608.0,73350.0,41400.0,2019-03-18,ja
77,52852.0,21515.0,14658.0,30052.0,15195.0,73926.0,40821.0,2019-03-19,ja
78,52455.0,25160.0,15582.0,30612.0,14611.0,72479.0,39132.0,2019-03-20,ja
79,60611.0,28669.0,16212.0,33473.0,16309.0,81810.0,44837.0,2019-03-21,ja
80,50616.0,22821.0,15983.0,29904.0,14563.0,71415.0,38158.0,2019-03-22,ja
81,61172.0,28134.0,16670.0,32137.0,19887.0,87253.0,43831.0,2019-03-23,ja
82,57269.0,25440.0,16694.0,32407.0,18795.0,86563.0,45404.0,2019-03-24,ja
83,48813.0,22669.0,14909.0,29108.0,15204.0,74589.0,44773.0,2019-03-25,ja
84,48912.0,21771.0,14725.0,28704.0,15818.0,76124.0,41754.0,2019-03-26,ja
85,46162.0,21063.0,14032.0,28072.0,14095.0,70823.0,40178.0,2019-03-27,ja
86,47235.0,21610.0,14146.0,28147.0,14019.0,69139.0,40268.0,2019-03-28,ja
87,47928.0,21514.0,14937.0,28513.0,13839.0,72361.0,39873.0,2019-03-29,ja
88,63572.0,27675.0,16831.0,31907.0,17490.0,86095.0,46972.0,2019-03-30,ja
89,53349.0,24611.0,16268.0,30995.0,18008.0,79588.0,51576.0,2019-03-31,ja
90,42127.0,19454.0,15812.0,35607.0,13318.0,61885.0,43669.0,2019-04-01,ja
91,43865.0,20827.0,15761.0,29132.0,13592.0,66460.0,49580.0,2019-04-02,ja
92,43274.0,23808.0,16197.0,29404.0,13998.0,69986.0,57303.0,2019-04-03,ja
93,43703.0,22209.0,15386.0,29089.0,14290.0,76343.0,52872.0,2019-04-04,ja
94,46082.0,22106.0,17277.0,30179.0,14567.0,70091.0,49476.0,2019-04-05,ja
95,51279.0,24176.0,17844.0,32334.0,15678.0,78309.0,52430.0,2019-04-06,ja
96,52292.0,23292.0,16363.0,32260.0,16179.0,78544.0,57127.0,2019-04-07,ja
97,43999.0,20814.0,15674.0,26779.0,14724.0,68959.0,46782.0,2019-04-08,ja
98,40840.0,19485.0,14676.0,26248.0,13058.0,62582.0,43830.0,2019-04-09,ja
99,41544.0,21250.0,16086.0,26796.0,12908.0,61953.0,46187.0,2019-04-10,ja
100,41053.0,23587.0,15062.0,29049.0,12999.0,62754.0,42722.0,2019-04-11,ja
101,42902.0,21912.0,15253.0,30661.0,13112.0,64992.0,42187.0,2019-04-12,ja
102,50691.0,25664.0,16586.0,32971.0,15371.0,76576.0,48867.0,2019-04-13,ja
103,56437.0,26172.0,18770.0,35085.0,16736.0,86517.0,53462.0,2019-04-14,ja
104,42766.0,21547.0,14579.0,27755.0,13853.0,65302.0,41417.0,2019-04-15,ja
105,42766.0,20705.0,15025.0,29581.0,13652.0,62002.0,40608.0,2019-04-16,ja
106,47352.0,21600.0,16896.0,39944.0,13913.0,66567.0,42751.0,2019-04-17,ja
107,52965.0,23889.0,17994.0,35045.0,14045.0,68378.0,42525.0,2019-04-18,ja
108,49649.0,26307.0,18712.0,43288.0,14252.0,67848.0,40702.0,2019-04-19,ja
109,58278.0,27390.0,18725.0,39745.0,14183.0,79525.0,47911.0,2019-04-20,ja
110,62575.0,26817.0,18439.0,38333.0,15097.0,84487.0,50772.0,2019-04-21,ja
111,52931.0,23103.0,16149.0,32226.0,14530.0,100948.0,41500.0,2019-04-22,ja
112,50907.0,22355.0,16030.0,30605.0,14146.0,79831.0,42563.0,2019-04-23,ja
113,50360.0,29168.0,16324.0,30128.0,15828.0,78452.0,49213.0,2019-04-24,ja
114,52002.0,47795.0,15353.0,29161.0,38218.0,76327.0,44556.0,2019-04-25,ja
115,53408.0,25431.0,16641.0,29898.0,18390.0,72647.0,41854.0,2019-04-26,ja
116,65777.0,26470.0,17704.0,31683.0,16430.0,78361.0,44627.0,2019-04-27,ja
117,62568.0,25554.0,17201.0,32823.0,15147.0,79918.0,46460.0,2019-04-28,ja
118,67028.0,28149.0,17635.0,34779.0,16343.0,81530.0,48899.0,2019-04-29,ja
119,68197.0,27185.0,19027.0,37205.0,15906.0,83852.0,50164.0,2019-04-30,ja
120,67762.0,28793.0,18616.0,36450.0,15061.0,83143.0,55425.0,2019-05-01,ja
121,67197.0,28521.0,17971.0,35763.0,14988.0,83727.0,51710.0,2019-05-02,ja
122,67381.0,32515.0,17849.0,36768.0,15858.0,82937.0,50996.0,2019-05-03,ja
123,69920.0,32794.0,18829.0,37862.0,16569.0,83584.0,52814.0,2019-05-04,ja
124,77321.0,30819.0,19307.0,39409.0,17284.0,87998.0,53473.0,2019-05-05,ja
125,80589.0,29768.0,18210.0,38144.0,16125.0,88780.0,54498.0,2019-05-06,ja
126,64120.0,23543.0,15540.0,30705.0,13815.0,68502.0,43622.0,2019-05-07,ja
127,56088.0,25972.0,14809.0,29522.0,13694.0,68298.0,41915.0,2019-05-08,ja
128,53465.0,24161.0,15565.0,29613.0,13743.0,66804.0,40393.0,2019-05-09,ja
129,53614.0,24482.0,16370.0,33034.0,15501.0,92722.0,40512.0,2019-05-10,ja
130,65370.0,29110.0,17863.0,35805.0,16298.0,92794.0,47591.0,2019-05-11,ja
131,66616.0,30354.0,17884.0,35871.0,16072.0,87922.0,50573.0,2019-05-12,ja
132,55541.0,23656.0,18151.0,31894.0,15162.0,74667.0,43626.0,2019-05-13,ja
133,55956.0,24127.0,17155.0,31091.0,15070.0,73876.0,43381.0,2019-05-14,ja
134,53590.0,24576.0,15920.0,29613.0,15013.0,74781.0,42071.0,2019-05-15,ja
135,56511.0,30314.0,17055.0,34438.0,17335.0,73799.0,41915.0,2019-05-16,ja
136,57023.0,28556.0,17337.0,34131.0,15589.0,77678.0,41043.0,2019-05-17,ja
137,65126.0,30974.0,17822.0,35266.0,17628.0,84530.0,46818.0,2019-05-18,ja
138,65102.0,30630.0,19120.0,36448.0,16270.0,84695.0,49059.0,2019-05-19,ja
139,53262.0,25059.0,16846.0,31048.0,14926.0,72695.0,41586.0,2019-05-20,ja
140,53071.0,25249.0,16674.0,31681.0,14461.0,71284.0,40321.0,2019-05-21,ja
141,49637.0,26266.0,15748.0,32382.0,15506.0,67068.0,42094.0,2019-05-22,ja
142,49100.0,24879.0,15741.0,30884.0,14445.0,65321.0,41397.0,2019-05-23,ja
143,49886.0,25390.0,16049.0,30669.0,14020.0,68063.0,40093.0,2019-05-24,ja
144,62822.0,31367.0,19498.0,33751.0,14683.0,81754.0,45195.0,2019-05-25,ja
145,57604.0,28123.0,17046.0,32347.0,15096.0,77999.0,47492.0,2019-05-26,ja
146,49266.0,25354.0,15652.0,33663.0,13654.0,73612.0,46241.0,2019-05-27,ja
147,47777.0,23219.0,16071.0,29609.0,13769.0,69443.0,50843.0,2019-05-28,ja
148,48774.0,23480.0,15785.0,29228.0,14045.0,69747.0,46653.0,2019-05-29,ja
149,48984.0,25364.0,16380.0,28972.0,14552.0,64162.0,42100.0,2019-05-30,ja
150,47059.0,22908.0,17881.0,29061.0,39421.0,65054.0,42754.0,2019-05-31,ja
151,56656.0,26952.0,16860.0,34915.0,15810.0,73900.0,46706.0,2019-06-01,ja
152,61455.0,27143.0,17580.0,35432.0,16001.0,79413.0,52312.0,2019-06-02,ja
153,48401.0,23303.0,15725.0,29533.0,14747.0,72398.0,42096.0,2019-06-03,ja
154,49841.0,25349.0,19951.0,30943.0,20064.0,69268.0,42971.0,2019-06-04,ja
155,47786.0,26244.0,19401.0,29703.0,19550.0,68537.0,41696.0,2019-06-05,ja
156,46091.0,25146.0,16874.0,31088.0,17566.0,76515.0,40635.0,2019-06-06,ja
157,55167.0,27850.0,18153.0,34135.0,16519.0,84570.0,41818.0,2019-06-07,ja
