,single_player_video_game,co_op_mode,multiplayer_video_game,lang,dates
0,214530.0,16233.0,95376.0,it,2019-01-01
1,210599.0,17653.0,88817.0,it,2019-01-02
2,202957.0,18544.0,86526.0,it,2019-01-03
3,210314.0,16612.0,79935.0,it,2019-01-04
4,198007.0,16185.0,77623.0,it,2019-01-05
5,204294.0,17387.0,87714.0,it,2019-01-06
6,178283.0,13499.0,70452.0,it,2019-01-07
7,175957.0,13651.0,69941.0,it,2019-01-08
8,164479.0,12802.0,66693.0,it,2019-01-09
9,164593.0,12318.0,72355.0,it,2019-01-10
10,355017.0,12395.0,67968.0,it,2019-01-11
11,174071.0,12740.0,67410.0,it,2019-01-12
12,202642.0,15896.0,81510.0,it,2019-01-13
13,175672.0,21957.0,77029.0,it,2019-01-14
14,167320.0,13978.0,68759.0,it,2019-01-15
15,160656.0,12199.0,65688.0,it,2019-01-16
16,180856.0,13019.0,80747.0,it,2019-01-17
17,172143.0,12152.0,68792.0,it,2019-01-18
18,191230.0,18328.0,81144.0,it,2019-01-19
19,268450.0,15693.0,163109.0,it,2019-01-20
20,166420.0,13195.0,72855.0,it,2019-01-21
21,161640.0,11997.0,67720.0,it,2019-01-22
22,165164.0,12000.0,70168.0,it,2019-01-23
23,169654.0,11807.0,72985.0,it,2019-01-24
24,198480.0,11472.0,139495.0,it,2019-01-25
25,166948.0,12063.0,70200.0,it,2019-01-26
26,196772.0,13948.0,87497.0,it,2019-01-27
27,178554.0,13048.0,72513.0,it,2019-01-28
28,170762.0,12090.0,66468.0,it,2019-01-29
29,167191.0,12495.0,66516.0,it,2019-01-30
30,168215.0,11939.0,70920.0,it,2019-01-31
31,161909.0,12221.0,67771.0,it,2019-02-01
32,171620.0,12596.0,72205.0,it,2019-02-02
33,195040.0,14354.0,81110.0,it,2019-02-03
34,170593.0,13182.0,71507.0,it,2019-02-04
35,159328.0,14259.0,66788.0,it,2019-02-05
36,154175.0,12835.0,65073.0,it,2019-02-06
37,175811.0,12693.0,67754.0,it,2019-02-07
38,149479.0,11683.0,61188.0,it,2019-02-08
39,152038.0,12528.0,64244.0,it,2019-02-09
40,166991.0,12586.0,72195.0,it,2019-02-10
41,158363.0,12080.0,67207.0,it,2019-02-11
42,150003.0,11652.0,65851.0,it,2019-02-12
43,146927.0,11359.0,63597.0,it,2019-02-13
44,140437.0,10245.0,58639.0,it,2019-02-14
45,149445.0,10445.0,61734.0,it,2019-02-15
46,153779.0,11221.0,63441.0,it,2019-02-16
47,162319.0,11812.0,68432.0,it,2019-02-17
48,152881.0,11130.0,63955.0,it,2019-02-18
49,144802.0,10808.0,62194.0,it,2019-02-19
50,139516.0,10607.0,60114.0,it,2019-02-20
51,142254.0,10369.0,61933.0,it,2019-02-21
52,136524.0,10125.0,57455.0,it,2019-02-22
53,157078.0,12870.0,65222.0,it,2019-02-23
54,163787.0,12420.0,69594.0,it,2019-02-24
55,149569.0,11020.0,61335.0,it,2019-02-25
56,143972.0,11119.0,60478.0,it,2019-02-26
57,139808.0,10577.0,60755.0,it,2019-02-27
58,141229.0,13450.0,60326.0,it,2019-02-28
59,134590.0,11277.0,58091.0,it,2019-03-01
60,152268.0,16516.0,60926.0,it,2019-03-02
61,151828.0,11747.0,63750.0,it,2019-03-03
62,156222.0,11611.0,68099.0,it,2019-03-04
63,142050.0,10701.0,61044.0,it,2019-03-05
64,136827.0,10705.0,58326.0,it,2019-03-06
65,138035.0,10434.0,57286.0,it,2019-03-07
66,135660.0,9664.0,56307.0,it,2019-03-08
67,152336.0,10433.0,64595.0,it,2019-03-09
68,219219.0,12027.0,74216.0,it,2019-03-10
69,167191.0,10881.0,76343.0,it,2019-03-11
70,142445.0,10764.0,61988.0,it,2019-03-12
71,137737.0,11157.0,58826.0,it,2019-03-13
72,132046.0,10156.0,55763.0,it,2019-03-14
73,127946.0,9663.0,54169.0,it,2019-03-15
74,144312.0,10283.0,60839.0,it,2019-03-16
