ARK: Survival Evolved,isPartial
47,False
38,False
42,False
41,False
35,False
35,False
34,False
32,False
35,False
36,False
34,False
35,False
35,False
34,False
35,False
33,False
32,False
31,False
31,False
30,False
36,False
35,False
37,False
46,False
45,False
44,False
41,False
44,False
40,False
38,False
47,False
46,False
42,False
36,False
35,False
32,False
29,False
29,False
28,False
28,False
30,False
32,False
33,False
33,False
31,False
33,False
37,False
35,False
33,False
36,False
48,False
48,False
40,False
38,False
37,False
38,False
37,False
38,False
40,False
60,False
56,False
47,False
47,False
50,False
47,False
53,False
50,False
51,False
50,False
42,False
41,False
44,False
41,False
50,False
97,False
100,False
61,False
48,False
42,False
38,False
36,False
40,False
39,False
37,False
33,False
36,False
35,False
31,False
28,False
26,False
23,False
25,False
22,False
23,False
27,False
29,False
34,False
31,False
34,False
34,False
38,False
39,False
37,False
45,False
