Life is Strange 2,isPartial
37,False
40,False
83,False
68,False
37,False
25,False
29,False
28,False
21,False
22,False
22,False
19,False
17,False
18,False
20,False
19,False
23,False
52,False
57,False
37,False
30,False
29,False
32,False
26,False
33,False
29,False
24,False
22,False
24,False
25,False
27,False
26,False
70,False
52,False
36,False
27,False
23,False
20,False
20,False
17,False
21,False
18,False
20,False
20,False
19,False
25,False
34,False
100,False
67,False
56,False
66,False
57,False
44,False
34,False
30,False
29,False
28,False
27,False
25,False
27,False
26,False
27,False
33,False
36,False
36,False
30,False
29,False
28,False
29,False
34,False
34,False
32,False
28,False
26,False
27,False
34,False
33,False
30,False
23,False
20,False
19,False
21,False
20,False
20,False
21,False
21,False
18,False
18,False
21,False
22,False
18,False
15,False
14,False
16,False
16,False
16,False
18,False
18,False
18,False
16,False
17,False
15,False
19,False
26,False
