PUBG: BATTLEGROUNDS,isPartial
92,False
81,False
79,False
100,False
80,False
68,False
85,False
79,False
74,False
74,False
71,False
57,False
34,False
55,False
60,False
46,False
52,False
60,False
50,False
71,False
85,False
68,False
63,False
58,False
59,False
57,False
37,False
53,False
58,False
51,False
55,False
67,False
58,False
56,False
45,False
28,False
48,False
43,False
37,False
54,False
49,False
33,False
40,False
48,False
39,False
35,False
47,False
41,False
31,False
35,False
45,False
49,False
44,False
41,False
35,False
36,False
50,False
38,False
40,False
38,False
31,False
38,False
46,False
53,False
54,False
52,False
64,False
53,False
52,False
41,False
59,False
47,False
61,False
58,False
49,False
73,False
52,False
82,False
35,False
31,False
50,False
38,False
36,False
39,False
47,False
51,False
73,False
67,False
33,False
42,False
32,False
21,False
36,False
30,False
27,False
28,False
23,False
24,False
39,False
24,False
34,False
40,False
34,False
31,False
